"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Warragul","3820","Warragul","Acidic Red Ferrosols","6.1","Tomato","/crops photo/tomato.jpg"
"Warragul","3820","Warragul","Acidic Red Ferrosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Traralgon","3844","Sand Dune","Rudosols","4.5","Oats","/oat.jpg"
"Wonthaggi","3995","Leongatha Sth","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5","Oats","/oat.jpg"
"Jeetho","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Jeetho","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Jeetho","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Jumbuk","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Rice","/crops photo/rice.jpg"
"Jumbuk","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Jumbuk","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Jumbuk","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Potato","/crops photo/potato.jpg"
"Jumbuk","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Tomato","/crops photo/tomato.jpg"
"Jumbuk","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Jumbunna","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Jumbunna","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Jumbunna","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Jumbunna","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Jumbunna","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Jumbunna","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Kardella","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Kardella","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Kardella","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Kardella","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Kardella","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Aberfeldy","3825","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Celery","/crops photo/potato.jpg"
"Agnes","3962","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Celery","/crops photo/Celery.jpg"
"Almurta","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Anderson","3995","Leongatha Sth","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5","Oats","/oat.jpg"
"Arawata","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Archies Creek","3995","Leongatha Sth","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5","Oats","/oat.jpg"
"Athlone","3818","Ripplebrook","Redoxic Hydrosols","5","Oats","/oat.jpg"
"Bass","3991","Dalmore","Aquic and Black Vertosols","5.3","Oats","/oat.jpg"
"Bena","3946","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Mirboo North","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Celery","/crops photo/Celery.jpg"
"Modella","3816","Narre","Yellow and Grey Sodosols","5.5","Celery","/crops photo/Celery.jpg"
"Moe","3825","Moe","heavy clay loams","7","Celery","/crops photo/Celery.jpg"
"Morwell","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Celery","/crops photo/Celery.jpg"
"Narracan","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Celery","/crops photo/Celery.jpg"
"Cowes","3922","Woolamai","deep sands","6.1","Eggplant","/crops photo/eggplant.jpg"
"Cowes","3922","Woolamai","deep sands","6.1","Potato","/crops photo/potato.jpg"
"Cowes","3922","Woolamai","deep sands","6.1","Tomato","/crops photo/tomato.jpg"
"Cowes","3922","Woolamai","deep sands","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Dalyston","3992","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Dalyston","3992","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Dalyston","3992","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Dalyston","3992","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Dalyston","3992","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Dalyston","3992","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Rice","/crops photo/rice.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Cucumber","/crops photo/cucumber.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Eggplant","/crops photo/eggplant.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Potato","/crops photo/potato.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Tomato","/crops photo/tomato.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Zucchini","/crops photo/zucchini2.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Carrot","/crops photo/carrots.jpg"
"Delburn","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Rice","/crops photo/rice.jpg"
"Delburn","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Korumburra","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Korumburra","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Krowera","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Krowera","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Krowera","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Krowera","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Krowera","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Krowera","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Labertouche","3816","Narre","Yellow and Grey Sodosols","5.5","Rice","/crops photo/rice.jpg"
"Labertouche","3816","Narre","Yellow and Grey Sodosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Labertouche","3816","Narre","Yellow and Grey Sodosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Labertouche","3816","Narre","Yellow and Grey Sodosols","5.5","Potato","/crops photo/potato.jpg"
"Labertouche","3816","Narre","Yellow and Grey Sodosols","5.5","Tomato","/crops photo/tomato.jpg"
"Labertouche","3816","Narre","Yellow and Grey Sodosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Leongatha","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Leongatha","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Leongatha","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
