Suburbs,PostCode,Soil Type,Dominant Soils,Soil PH,Crops
Darnum,3822,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Delburn,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Dollar,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Driffield,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Drouin,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Drouin West,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Dumbalk,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats
Ellinbank,3821,riverine,Hydrosols,4.5,Oats
Erica,3825,sand dune,Aeric Podosols,4.5,Oats
Ferndale,3821,riverine,Hydrosols,4.5,Oats
Fish Creek,3959,sand dune,Aeric Podosols,4.5,Oats
Flynn,3844,sand dune,Rudosols,4.5,Oats
Foster,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
French Island,3921,Nyora,Aeric Podosols,4.7,Oats
Fumina,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Glen Forbes,3990,French Island,Aeric and Aquic Podosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Glengarry,3854,Yinnar,Brown Dermosols and Vertosols,6.0,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Grantville,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Hallora,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Hallston,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hazel Park,3966,Agnes,Yellow Kandosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hazelwood,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hedley,3967,Agnes,Yellow Kandosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hill End,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Icy Creek,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Inverloch,3996,riverine,Hydrosols,4.5,Oats
Jam Jerrup,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
