,Suburbs,Post Code,Latitude,Longitude,Temperature,Description,Wind,soil_type,landform,geology
167,Wimbledon Heights,3922,-38.46,145.08,285.38,clear sky,8.31,Not Available,Not Available,Not Available
168,Wonga,3960,-38.56,146.16,281.2,clear sky,3.64,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
169,Wonthaggi,3995,-38.57,145.7,283.88,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
170,Woodleigh,3945,-38.38,145.72,285.04,clear sky,4.47,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
171,Woolamai,3995,-38.57,145.7,283.88,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
172,Yallourn,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
173,Yallourn North,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
174,Yallourn North,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
175,Yanakie,3960,-38.56,146.16,281.2,clear sky,3.64,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
176,Yarragon,3823,-38.21,146.06,281.94,clear sky,0.45,Yarragon,Pleistocene (late) sediments,Not Available
177,Yinnar,3869,-38.38,146.38,281.48,clear sky,2.06,Boolarra with Morwell,Tertiary (Pliocene) sediments,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols
178,Yinnar South,3869,-38.38,146.38,281.48,clear sky,2.06,Boolarra with Morwell,Tertiary (Pliocene) sediments,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols
